case;TRAIN;;339;0.187811634;;
;;;1466;;;
Cuenta de CHECKUP_RULE_OUT_HIV;Etiquetas de columna;;;;;
Etiquetas de fila;NO;YES;Total general;;;
2010;433;1033;1466;422;1022;1444
2011;391;990;1381;26;34;60
2012;320;1121;1441;19;35;54
2013;266;1137;1403;23;33;56
2014;245;1279;1524;6;30;37
2015;434;3335;3769;29;33;62
2016;327;2906;3233;34;29;62
2017;341;3091;3432;0;17;17
2018;354;3084;3438;22;45;66
2020;124;1322;1446;38;18;56
2021;296;2800;3096;22;34;57
Total general;3531;22098;25629;5;42;46
;;;;21;34;54
;;;;13;54;66
;;;;10;35;46
;;;;3;97;100
;;;;28;43;71
;;;;6;56;62
;;;;10;45;55
;;;;9;54;63
;;;;26;47;74
;;;;33;18;51
;;;;16;58;74
;;;;3;26;30
;;;;2;51;54
;;;;17;54;71
;;;;381;978;1359
;;;;28;30;58
;;;;13;34;47
;;;;26;19;45
;;;;2;34;37
;;;;37;28;65
;;;;35;19;54
;;;;1;16;17
;;;;18;30;49
;;;;45;12;57
;;;;26;18;44
;;;;2;52;54
;;;;15;38;54
;;;;14;31;46
;;;;5;42;46
;;;;9;92;101
;;;;16;61;77
;;;;16;67;83
;;;;5;26;31
;;;;6;63;69
;;;;19;58;78
;;;;30;22;52
;;;;3;58;62
;;;;5;30;34
;;;;3;42;46
;;;;3;53;56
;;;;310;1112;1422
;;;;31;34;65
;;;;14;54;69
;;;;15;23;38
;;;;4;37;41
;;;;37;33;70
;;;;24;34;58
;;;;0;12;12
;;;;14;20;34
;;;;22;23;45
;;;;12;36;48
;;;;2;48;50
;;;;7;30;38
;;;;14;52;66
;;;;6;40;46
;;;;7;111;118
;;;;11;82;93
;;;;5;56;61
;;;;3;24;27
;;;;9;71;80
;;;;17;54;71
;;;;35;23;58
;;;;6;56;62
;;;;1;36;37
;;;;2;66;68
;;;;13;55;68
;;;;255;1128;1383
;;;;9;45;54
;;;;18;44;62
;;;;22;30;52
;;;;6;33;38
;;;;25;37;62
;;;;30;29;58
;;;;0;12;12
;;;;15;33;48
;;;;15;23;38
;;;;8;39;47
;;;;1;54;55
;;;;3;41;44
;;;;7;55;62
;;;;6;46;52
;;;;4;102;106
;;;;6;82;87
;;;;3;66;69
;;;;1;33;34
;;;;13;45;58
;;;;24;50;74
;;;;22;30;52
;;;;2;52;54
;;;;3;36;39
;;;;2;54;56
;;;;10;58;68
;;;;236;1269;1505
;;;;12;54;66
;;;;33;30;62
;;;;16;24;40
;;;;1;43;44
;;;;13;36;49
;;;;17;31;48
;;;;1;52;53
;;;;6;39;46
;;;;17;26;42
;;;;6;42;48
;;;;2;66;69
;;;;5;44;49
;;;;10;42;52
;;;;3;49;52
;;;;5;176;181
;;;;14;65;78
;;;;6;50;57
;;;;1;32;33
;;;;4;63;67
;;;;15;70;85
;;;;23;31;54
;;;;6;51;57
;;;;3;38;42
;;;;1;54;54
;;;;18;60;78
;;;;426;3326;3752
;;;;28;120;148
;;;;41;101;142
;;;;33;101;134
;;;;5;117;122
;;;;47;93;140
;;;;34;78;112
;;;;2;144;146
;;;;18;113;131
;;;;36;87;123
;;;;27;125;152
;;;;2;148;150
;;;;4;154;158
;;;;20;127;147
;;;;9;146;154
;;;;10;418;427
;;;;10;138;148
;;;;4;138;142
;;;;8;120;128
;;;;7;132;139
;;;;15;130;145
;;;;45;59;104
;;;;6;139;145
;;;;4;110;114
;;;;2;152;154
;;;;10;138;148
;;;;319;2894;3214
;;;;21;78;99
;;;;25;94;118
;;;;26;91;117
;;;;9;130;138
;;;;40;88;128
;;;;29;63;92
;;;;1;136;137
;;;;24;77;101
;;;;15;88;103
;;;;16;114;130
;;;;2;126;128
;;;;3;119;122
;;;;12;109;121
;;;;4;143;147
;;;;12;360;372
;;;;11;126;138
;;;;4;106;110
;;;;4;103;107
;;;;7;100;107
;;;;22;111;133
;;;;22;55;77
;;;;0;121;121
;;;;2;99;101
;;;;3;122;125
;;;;6;135;142
;;;;330;3082;3411
;;;;15;106;121
;;;;26;90;115
;;;;28;109;137
;;;;2;118;120
;;;;36;99;135
;;;;38;71;110
;;;;2;125;127
;;;;38;78;117
;;;;22;76;98
;;;;10;116;126
;;;;1;116;117
;;;;5;125;130
;;;;6;128;134
;;;;2;131;134
;;;;14;366;380
;;;;10;146;155
;;;;7;114;122
;;;;6;106;111
;;;;7;110;117
;;;;21;128;149
;;;;26;71;97
;;;;2;140;142
;;;;1;110;111
;;;;2;139;142
;;;;2;164;166
;;;;344;3075;3419
;;;;18;103;121
;;;;33;80;113
;;;;31;89;120
;;;;4;122;126
;;;;36;104;140
;;;;42;78;121
;;;;2;118;119
;;;;34;81;114
;;;;32;82;114
;;;;7;126;133
;;;;0;107;107
;;;;1;124;125
;;;;11;101;112
;;;;5;146;151
;;;;7;441;448
;;;;6;158;164
;;;;6;113;119
;;;;4;104;108
;;;;10;105;114
;;;;22;109;131
;;;;27;54;81
;;;;1;142;142
;;;;2;114;115
;;;;3;122;125
;;;;1;154;155
;;;;115;1310;1426
;;;;6;42;48
;;;;10;51;61
;;;;10;46;55
;;;;1;38;39
;;;;12;46;58
;;;;14;42;56
;;;;0;51;51
;;;;9;27;36
;;;;13;40;53
;;;;3;54;58
;;;;0;40;40
;;;;1;46;47
;;;;2;50;52
;;;;1;64;65
;;;;2;166;169
;;;;5;64;69
;;;;2;42;44
;;;;2;34;36
;;;;2;45;47
;;;;11;68;79
;;;;6;23;29
;;;;2;67;69
;;;;0;30;30
;;;;1;58;58
;;;;2;74;77
;;;;287;2791;3078
;;;;12;115;127
;;;;13;74;87
;;;;20;63;83
;;;;6;105;110
